Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,470,Malta,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1,,603,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,204,Benin,,,,,,,,,3006,Pharmaceutical goods,,,,,,,6,,494,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,104,Myanmar,,,,,,,,,3006,Pharmaceutical goods,,,,,,,67,,19799,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,398,Kazakhstan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,14,,2097,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,392,Japan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,600,,43726,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,422,Lebanon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,159,,24527,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,504,Morocco,,,,,,,,,3006,Pharmaceutical goods,,,,,,,366,,28832,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,214,Dominican Rep.,,,,,,,,,3006,Pharmaceutical goods,,,,,,,9,,3950,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,268,Georgia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,147,,23725,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,554,New Zealand,,,,,,,,,3006,Pharmaceutical goods,,,,,,,32,,9644,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,276,Germany,,,,,,,,,3006,Pharmaceutical goods,,,,,,,43314,,4443434,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,442,Luxembourg,,,,,,,,,3006,Pharmaceutical goods,,,,,,,308,,20843,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,826,United Kingdom,,,,,,,,,3006,Pharmaceutical goods,,,,,,,5289,,635488,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,702,Singapore,,,,,,,,,3006,Pharmaceutical goods,,,,,,,215,,24536,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,108,Burundi,,,,,,,,,3006,Pharmaceutical goods,,,,,,,25,,1003,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,818,Egypt,,,,,,,,,3006,Pharmaceutical goods,,,,,,,37,,11569,,,0
HS,2017,201705,May 2017,4,0,1,Imports,251,France,,699,India,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3550,,227986,,,0
HS,2017,201710,October 2017,4,0,2,Exports,251,France,,324,Guinea,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1,,942,,,0
HS,2017,201710,October 2017,4,0,2,Exports,251,France,,591,Panama,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1,,1217,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,752,Sweden,,,,,,,,,3006,Pharmaceutical goods,,,,,,,700,,274817,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,36,Australia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2711,,109754,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,480,Mauritius,,,,,,,,,3006,Pharmaceutical goods,,,,,,,101,,17838,,,0
HS,2017,201706,June 2017,4,0,1,Imports,251,France,,554,New Zealand,,,,,,,,,3006,Pharmaceutical goods,,,,,,,22,,245,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,50,Bangladesh,,,,,,,,,3006,Pharmaceutical goods,,,,,,,25,,8016,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,203,Czech Rep.,,,,,,,,,3006,Pharmaceutical goods,,,,,,,5762,,506215,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,214,Dominican Rep.,,,,,,,,,3006,Pharmaceutical goods,,,,,,,197,,16064,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,604,Peru,,,,,,,,,3006,Pharmaceutical goods,,,,,,,19,,109660,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,348,Hungary,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2485,,295022,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,703,Slovakia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1858,,47352,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,705,Slovenia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,170,,8460,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,788,Tunisia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,10800,,275241,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,688,Serbia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3267,,23861,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,364,Iran,,,,,,,,,3006,Pharmaceutical goods,,,,,,,221,,45781,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,368,Iraq,,,,,,,,,3006,Pharmaceutical goods,,,,,,,341,,68508,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,372,Ireland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,7700,,620976,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,686,Senegal,,,,,,,,,3006,Pharmaceutical goods,,,,,,,315,,28324,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,348,Hungary,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2099,,190624,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,170,Colombia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1118,,108714,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,12,Algeria,,,,,,,,,3006,Pharmaceutical goods,,,,,,,554,,109750,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,634,Qatar,,,,,,,,,3006,Pharmaceutical goods,,,,,,,305,,60035,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,384,Côte d'Ivoire,,,,,,,,,3006,Pharmaceutical goods,,,,,,,5304,,81978,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,586,Pakistan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,39,,1098,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,579,Norway,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1040,,139572,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,376,Israel,,,,,,,,,3006,Pharmaceutical goods,,,,,,,87,,38598,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,699,India,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1427,,134947,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,600,Paraguay,,,,,,,,,3006,Pharmaceutical goods,,,,,,,34,,3977,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,320,Guatemala,,,,,,,,,3006,Pharmaceutical goods,,,,,,,18,,3011,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,422,Lebanon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,5,,4317,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,666,Saint Pierre and Miquelon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3,,1712,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,360,Indonesia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,82,,16429,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,499,Montenegro,,,,,,,,,3006,Pharmaceutical goods,,,,,,,52,,8014,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,784,United Arab Emirates,,,,,,,,,3006,Pharmaceutical goods,,,,,,,753,,108870,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,528,Netherlands,,,,,,,,,3006,Pharmaceutical goods,,,,,,,33218,,2504465,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,381,Italy,,,,,,,,,3006,Pharmaceutical goods,,,,,,,22364,,4002022,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,384,Côte d'Ivoire,,,,,,,,,3006,Pharmaceutical goods,,,,,,,113,,11812,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,392,Japan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1508,,4252921,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,540,New Caledonia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,8861,,176601,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,826,United Kingdom,,,,,,,,,3006,Pharmaceutical goods,,,,,,,6071,,851615,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,757,Switzerland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,11871,,3952695,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,703,Slovakia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1313,,60552,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,233,Estonia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4,,9478,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,458,Malaysia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,165,,22200,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,643,Russian Federation,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4093,,321768,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,368,Iraq,,,,,,,,,3006,Pharmaceutical goods,,,,,,,696,,47758,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,266,Gabon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,750,,20723,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,140,Central African Rep.,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3,,251,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,208,Denmark,,,,,,,,,3006,Pharmaceutical goods,,,,,,,918,,101244,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,392,Japan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,815,,37426,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,704,Viet Nam,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1515,,116990,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,899,"Areas, nes",,,,,,,,,3006,Pharmaceutical goods,,,,,,,1104,,264407,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,222,El Salvador,,,,,,,,,3006,Pharmaceutical goods,,,,,,,55,,1945,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,268,Georgia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,51,,8736,,,0
HS,2017,201710,October 2017,4,0,2,Exports,251,France,,266,Gabon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1371,,40543,,,0
HS,2017,201710,October 2017,4,0,2,Exports,251,France,,392,Japan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,929,,56537,,,0
HS,2017,201710,October 2017,4,0,2,Exports,251,France,,404,Kenya,,,,,,,,,3006,Pharmaceutical goods,,,,,,,19,,2456,,,0
HS,2017,201710,October 2017,4,0,2,Exports,251,France,,478,Mauritania,,,,,,,,,3006,Pharmaceutical goods,,,,,,,28,,727,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,204,Benin,,,,,,,,,3006,Pharmaceutical goods,,,,,,,539,,29448,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,191,Croatia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,717,,106936,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,156,China,,,,,,,,,3006,Pharmaceutical goods,,,,,,,105,,58995,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,170,Colombia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1428,,148112,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,178,Congo,,,,,,,,,3006,Pharmaceutical goods,,,,,,,289,,19684,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,376,Israel,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2005,,387190,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,818,Egypt,,,,,,,,,3006,Pharmaceutical goods,,,,,,,123,,19756,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,724,Spain,,,,,,,,,3006,Pharmaceutical goods,,,,,,,45252,,6510126,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,246,Finland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,405,,48521,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,218,Ecuador,,,,,,,,,3006,Pharmaceutical goods,,,,,,,149,,31482,,,0
HS,2017,201710,October 2017,4,0,1,Imports,251,France,,616,Poland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1086,,171987,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,480,Mauritius,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1100,,18805,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,116,Cambodia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,59,,12384,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,398,Kazakhstan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,17,,1689,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,276,Germany,,,,,,,,,3006,Pharmaceutical goods,,,,,,,52503,,5178432,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,48,Bahrain,,,,,,,,,3006,Pharmaceutical goods,,,,,,,27,,10492,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,233,Estonia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,71,,17689,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,381,Italy,,,,,,,,,3006,Pharmaceutical goods,,,,,,,27298,,4332270,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,188,Costa Rica,,,,,,,,,3006,Pharmaceutical goods,,,,,,,13,,6346,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,191,Croatia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1611,,131001,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,196,Cyprus,,,,,,,,,3006,Pharmaceutical goods,,,,,,,202,,29189,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,324,Guinea,,,,,,,,,3006,Pharmaceutical goods,,,,,,,29,,1340,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,268,Georgia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,207,,41353,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,458,Malaysia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,459,,33240,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,478,Mauritania,,,,,,,,,3006,Pharmaceutical goods,,,,,,,19,,632,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,792,Turkey,,,,,,,,,3006,Pharmaceutical goods,,,,,,,7943,,761033,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,807,TFYR of Macedonia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4,,659,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,332,Haiti,,,,,,,,,3006,Pharmaceutical goods,,,,,,,16,,548,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,262,Djibouti,,,,,,,,,3006,Pharmaceutical goods,,,,,,,55,,1573,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,643,Russian Federation,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3256,,635839,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,218,Ecuador,,,,,,,,,3006,Pharmaceutical goods,,,,,,,152,,30656,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,562,Niger,,,,,,,,,3006,Pharmaceutical goods,,,,,,,22,,984,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,300,Greece,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2926,,321650,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,384,Côte d'Ivoire,,,,,,,,,3006,Pharmaceutical goods,,,,,,,693,,31711,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,360,Indonesia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,486,,123201,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,634,Qatar,,,,,,,,,3006,Pharmaceutical goods,,,,,,,19,,3464,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,191,Croatia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,982,,74544,,,0
HS,2017,201712,December 2017,4,0,2,Exports,251,France,,324,Guinea,,,,,,,,,3006,Pharmaceutical goods,,,,,,,50,,3797,,,0
HS,2017,201712,December 2017,4,0,2,Exports,251,France,,478,Mauritania,,,,,,,,,3006,Pharmaceutical goods,,,,,,,102,,7750,,,0
HS,2017,201712,December 2017,4,0,2,Exports,251,France,,818,Egypt,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1692,,190677,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,470,Malta,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4,,6308,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,156,China,,,,,,,,,3006,Pharmaceutical goods,,,,,,,25,,4510,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,768,Togo,,,,,,,,,3006,Pharmaceutical goods,,,,,,,35,,5744,,,0
HS,2017,201706,June 2017,4,0,2,Exports,251,France,,842,United States of America,,,,,,,,,3006,Pharmaceutical goods,,,,,,,32842,,7039685,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,450,Madagascar,,,,,,,,,3006,Pharmaceutical goods,,,,,,,138,,26435,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,120,Cameroon,,,,,,,,,3006,Pharmaceutical goods,,,,,,,345,,109131,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,442,Luxembourg,,,,,,,,,3006,Pharmaceutical goods,,,,,,,249,,21506,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,152,Chile,,,,,,,,,3006,Pharmaceutical goods,,,,,,,745,,50322,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,188,Costa Rica,,,,,,,,,3006,Pharmaceutical goods,,,,,,,9,,5947,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,116,Cambodia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,14,,8487,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,36,Australia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,267,,62095,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,470,Malta,,,,,,,,,3006,Pharmaceutical goods,,,,,,,16,,4538,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,196,Cyprus,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3831,,123314,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,620,Portugal,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2459,,273944,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,600,Paraguay,,,,,,,,,3006,Pharmaceutical goods,,,,,,,43,,1526,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,40,Austria,,,,,,,,,3006,Pharmaceutical goods,,,,,,,882,,836251,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,764,Thailand,,,,,,,,,3006,Pharmaceutical goods,,,,,,,10006,,180193,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,8,Albania,,,,,,,,,3006,Pharmaceutical goods,,,,,,,829,,12093,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,348,Hungary,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3774,,279253,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,368,Iraq,,,,,,,,,3006,Pharmaceutical goods,,,,,,,600,,18064,,,0
HS,2017,201712,December 2017,4,0,1,Imports,251,France,,214,Dominican Rep.,,,,,,,,,3006,Pharmaceutical goods,,,,,,,10598,,1033981,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,724,Spain,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3746,,737681,,,0
HS,2017,201704,April 2017,4,0,1,Imports,251,France,,251,France,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4835,,119612,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,616,Poland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,3417,,242087,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,620,Portugal,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1435,,145786,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,804,Ukraine,,,,,,,,,3006,Pharmaceutical goods,,,,,,,7,,784,,,0
HS,2017,201707,July 2017,4,0,2,Exports,251,France,,616,Poland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,6111,,464056,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,854,Burkina Faso,,,,,,,,,3006,Pharmaceutical goods,,,,,,,555,,18465,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,276,Germany,,,,,,,,,3006,Pharmaceutical goods,,,,,,,65710,,5889402,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,458,Malaysia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1519,,8385,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,32,Argentina,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2041,,161968,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,764,Thailand,,,,,,,,,3006,Pharmaceutical goods,,,,,,,7537,,183048,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,40,Austria,,,,,,,,,3006,Pharmaceutical goods,,,,,,,899,,198112,,,0
HS,2017,201704,April 2017,4,0,2,Exports,251,France,,428,Latvia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,33,,6264,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,705,Slovenia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,4,,6692,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,170,Colombia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1277,,154957,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,32,Argentina,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1059,,147989,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,788,Tunisia,,,,,,,,,3006,Pharmaceutical goods,,,,,,,53068,,453438,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,417,Kyrgyzstan,,,,,,,,,3006,Pharmaceutical goods,,,,,,,48,,10590,,,0
HS,2017,201703,March 2017,4,0,2,Exports,251,France,,757,Switzerland,,,,,,,,,3006,Pharmaceutical goods,,,,,,,26890,,1668523,,,0
HS,2017,201704,April 2017,4,0,1,Imports,251,France,,410,Rep. of Korea,,,,,,,,,3006,Pharmaceutical goods,,,,,,,1876,,194530,,,0
HS,2017,201707,July 2017,4,0,1,Imports,251,France,,376,Israel,,,,,,,,,3006,Pharmaceutical goods,,,,,,,2570,,248788,,,0
