country,year,SP.DYN.LE00.IN
Timor-Leste,2018,69.26
Togo,2018,60.76
Tonga,2018,70.801
Trinidad and Tobago,2018,73.38
Tunisia,2018,76.505
Turkey,2018,77.437
Turkmenistan,2018,68.073
Turks and Caicos Islands,2018,
Tuvalu,2018,
Uganda,2018,62.973
Ukraine,2018,71.58268293
United Arab Emirates,2018,77.814
United Kingdom,2018,81.25609756
United States,2018,78.63902439
Uruguay,2018,77.77
Uzbekistan,2018,71.573
Vanuatu,2018,70.323
"Venezuela, RB",2018,72.128
Vietnam,2018,75.317
Virgin Islands (U.S.),2018,79.5195122
West Bank and Gaza,2018,73.895
"Yemen, Rep.",2018,66.096
Zambia,2018,63.51
Zimbabwe,2018,61.195
Arab World,2018,71.80682516
Caribbean small states,2018,73.63710891
Central Europe and the Baltics,2018,76.97684517
Early-demographic dividend,2018,70.48316437
East Asia & Pacific,2018,76.06888576
East Asia & Pacific (excluding high income),2018,75.21051211
East Asia & Pacific (IDA & IBRD countries),2018,75.24922911
Euro area,2018,82.05961728
Europe & Central Asia,2018,77.90945329
Europe & Central Asia (excluding high income),2018,73.59276573
Europe & Central Asia (IDA & IBRD countries),2018,74.03931901
European Union,2018,81.03440922
Fragile and conflict affected situations,2018,61.50011192
Heavily indebted poor countries (HIPC),2018,63.1350064
High income,2018,80.68650066
IBRD only,2018,73.40499776
IDA & IBRD total,2018,71.07184737
IDA blend,2018,62.16175014
IDA only,2018,65.30417237
IDA total,2018,64.24785414
Late-demographic dividend,2018,76.2247808
Latin America & Caribbean,2018,75.44093691
Latin America & Caribbean (excluding high income),2018,75.24611405
Latin America & the Caribbean (IDA & IBRD countries),2018,75.3574155
Least developed countries: UN classification,2018,65.03962412
Low & middle income,2018,70.99892983
Low income,2018,63.49633875
Lower middle income,2018,68.42247164
Middle East & North Africa,2018,74.08890926
Middle East & North Africa (excluding high income),2018,73.58735821
Middle East & North Africa (IDA & IBRD countries),2018,73.58364281
Middle income,2018,71.85474647
North America,2018,78.98693536
Not classified,2018,
OECD members,2018,80.10450892
Other small states,2018,68.5469317
Pacific island small states,2018,69.92905797
Post-demographic dividend,2018,80.69351855
Pre-demographic dividend,2018,60.8209563
Small states,2018,69.54113246
South Asia,2018,69.41224765
South Asia (IDA & IBRD),2018,69.41224765
Sub-Saharan Africa,2018,61.27304556
Sub-Saharan Africa (excluding high income),2018,61.25656428
Sub-Saharan Africa (IDA & IBRD countries),2018,61.27304556
Upper middle income,2018,75.32921214
World,2018,72.56836704
