Date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
14/01/2014,3,-4,-12,-9,-17,-24,67,37,13,1036,1034,1032,11,7,3,18,8,,0,,,347<br />
15/01/2014,5,-2,-10,-7,-17,-23,63,38,9,1034,1031,1028,23,6,2,14,5,,0,,,6<br />
16/01/2014,5,-1,-6,-3,-8,-16,86,61,21,1031,1028,1026,4,2,1,14,6,,0,,Fog,82<br />
17/01/2014,5,1,-3,-3,-13,-23,81,43,12,1033,1031,1029,14,6,1,29,13,43,0,8,Snow,199<br />
18/01/2014,7,-1,-8,-8,-16,-22,85,31,13,1035,1033,1031,11,6,2,21,11,26,0,,,54<br />
19/01/2014,5,1,-4,-6,-11,-22,74,49,9,1030,1025,1020,26,5,4,43,11,64,0,8,,133<br />
20/01/2014,4,0,-3,-19,-22,-25,26,17,8,1035,1030,1025,31,31,31,55,31,72,0,,,324<br />
21/01/2014,4,-1,-7,-18,-22,-25,39,20,7,1035,1032,1027,31,11,5,32,14,32,0,,,339<br />
22/01/2014,6,-2,-10,-13,-18,-22,53,32,8,1027,1024,1021,8,6,2,11,5,,0,,,33<br />
23/01/2014,3,-3,-9,-9,-14,-17,59,44,22,1021,1017,1013,4,3,0,11,5,,0,,,9<br />
24/01/2014,10,3,-4,-10,-17,-25,55,28,5,1022,1017,1014,18,5,2,18,10,,0,8,,3<br />
25/01/2014,7,1,-4,-7,-18,-25,64,23,4,1034,1027,1022,31,16,3,21,10,,0,,,24<br />
26/01/2014,3,-2,-6,-7,-11,-14,74,50,24,1035,1029,1021,11,9,5,18,10,,0,3,,148<br />
27/01/2014,12,2,-7,-7,-14,-29,80,43,4,1027,1019,1016,31,6,3,40,10,,0,,,354<br />
28/01/2014,5,-1,-6,-7,-16,-25,69,31,11,1031,1028,1023,26,13,8,21,11,,0,,,124<br />
29/01/2014,3,-3,-8,-7,-9,-12,80,62,36,1023,1015,1011,8,6,2,11,6,,0,,,54<br />
30/01/2014,8,2,-5,-4,-17,-27,75,31,4,1021,1018,1014,31,9,2,21,10,,0,,,79<br />
31/01/2014,3,-1,-4,0,-7,-9,88,61,45,1021,1019,1017,6,4,0,14,8,,0,5,Rain,53<br />
01/02/2014,4,2,1,1,-3,-7,91,67,48,1019,1016,1012,5,4,0,14,6,,0,8,Rain,204<br />
02/02/2014,10,4,-1,1,-16,-35,89,37,4,1023,1015,1011,31,7,0,43,16,55,0,7,,5<br />
03/02/2014,2,-2,-5,-16,-33,-40,23,8,4,1029,1027,1023,31,28,23,32,19,50,0,,,343<br />
04/02/2014,1,-3,-7,-24,-31,-38,24,10,4,1032,1030,1027,31,18,6,26,13,32,0,,,332<br />
05/02/2014,1,-6,-11,-11,-18,-25,59,33,7,1030,1029,1027,9,7,5,14,5,,0,,,102<br />
06/02/2014,2,-3,-8,-6,-13,-16,69,46,20,1032,1030,1029,8,6,2,11,5,,0,8,,101<br />
07/02/2014,-2,-3,-5,-5,-7,-12,86,76,51,1031,1027,1024,8,4,0,14,10,,2.03,8,Snow,125<br />
08/02/2014,2,-3,-8,-6,-12,-22,89,54,15,1036,1028,1024,31,7,2,29,11,,0.51,8,Snow,10<br />
09/02/2014,-1,-7,-12,-16,-21,-23,48,28,11,1039,1037,1034,31,23,11,21,16,35,0,,,340<br />
10/02/2014,-1,-7,-13,-15,-19,-23,58,34,13,1038,1035,1031,31,23,5,18,10,,0,,,12<br />
11/02/2014,1,-7,-13,-11,-15,-18,73,50,20,1031,1028,1025,8,6,2,14,5,29,0,,,76<br />
12/02/2014,4,-3,-11,-8,-16,-23,73,41,13,1036,1032,1029,11,5,2,18,8,,0,,,53<br />
13/02/2014,1,-2,-4,-7,-10,-13,77,54,42,1038,1035,1031,6,4,2,18,10,,0,8,Snow,117<br />
14/02/2014,3,-3,-9,-7,-9,-11,86,65,37,1031,1026,1023,4,3,0,6,5,,0,,Fog,61<br />
15/02/2014,4,-2,-7,-6,-8,-10,80,64,39,1026,1025,1023,2,1,0,11,5,,0,,Fog,30<br />
16/02/2014,7,0,-6,-5,-9,-16,80,52,18,1033,1029,1025,6,3,0,18,10,,0,,Fog,216<br />
17/02/2014,5,1,-3,-7,-13,-19,64,36,10,1037,1035,1033,10,6,3,21,8,,0,,,147<br />
18/02/2014,2,-1,-5,-8,-12,-13,55,45,26,1037,1032,1028,13,8,6,14,8,,0,,Snow,144<br />
19/02/2014,6,-1,-8,-6,-13,-19,80,43,13,1031,1029,1027,23,7,2,18,8,,0,,,69<br />
20/02/2014,1,-2,-4,-4,-6,-7,87,73,56,1032,1030,1029,5,2,0,14,6,,0,8,Fog-Snow,118<br />
21/02/2014,4,-1,-6,-3,-6,-8,86,68,45,1030,1028,1026,5,2,0,11,3,,0,8,Fog,24<br />
22/02/2014,6,2,-2,-2,-4,-6,75,58,45,1032,1030,1029,3,2,0,11,6,,0,8,Fog,42<br />
23/02/2014,3,2,1,-3,-6,-7,65,58,51,1032,1031,1029,3,2,2,11,5,,0,8,,155<br />
24/02/2014,7,3,-1,-3,-4,-5,75,55,39,1030,1027,1025,2,2,0,14,5,,0,8,,29<br />
25/02/2014,8,2,-3,-1,-4,-6,80,63,39,1028,1026,1024,2,1,0,11,3,,0,8,Fog,16<br />
26/02/2014,9,4,-1,3,-1,-4,80,66,36,1025,1023,1020,26,2,0,21,6,29,1.02,7,Fog-Rain,347<br />
27/02/2014,9,4,-1,-9,-16,-20,44,21,8,1032,1029,1025,31,24,10,32,19,,0,,,350<br />
28/02/2014,6,1,-3,-4,-7,-14,80,53,26,1030,1026,1022,10,7,3,14,6,21,0,2,,113<br />
01/03/2014,12,4,-3,-6,-15,-27,74,31,4,1026,1023,1020,31,8,2,29,11,55,0,,,309<br />
02/03/2014,11,4,-2,-2,-8,-13,75,46,17,1025,1022,1019,7,5,2,18,10,,0,,,131<br />
03/03/2014,4,0,-3,-3,-6,-9,86,60,42,1024,1022,1020,4,3,2,14,6,,0,8,,38<br />
04/03/2014,10,4,-2,-3,-19,-30,74,23,4,1030,1026,1023,31,10,2,32,14,50,0,,,335<br />
05/03/2014,9,1,-6,-13,-21,-27,54,18,4,1031,1028,1024,31,20,10,29,13,35,0,,,270<br />
06/03/2014,8,1,-6,-10,-26,-31,32,11,4,1033,1030,1027,31,24,8,29,13,43,0,,,320<br />
07/03/2014,8,0,-7,-8,-18,-28,74,28,4,1032,1029,1027,31,14,6,26,10,,0,,,94<br />
08/03/2014,10,5,0,-2,-7,-16,75,46,20,1028,1023,1019,8,5,2,18,6,,0,,,137<br />
09/03/2014,10,3,-3,-4,-9,-13,69,41,16,1028,1026,1024,9,7,2,18,8,,0,,,135<br />
10/03/2014,9,2,-4,-2,-7,-10,74,50,26,1029,1024,1019,10,6,2,14,6,,0,,,115<br />
11/03/2014,14,6,-2,-1,-6,-13,80,43,13,1024,1018,1015,14,4,2,32,8,43,0,,,18<br />
12/03/2014,11,6,2,-8,-19,-26,31,15,4,1028,1025,1023,31,22,3,26,16,32,0,,,12<br />
13/03/2014,13,4,-3,-13,-21,-26,47,14,4,1026,1022,1017,31,17,8,32,10,35,0,,,298<br />
14/03/2014,17,10,4,-9,-21,-25,19,9,4,1022,1018,1013,27,21,10,29,19,32,0,,,260<br />
15/03/2014,22,11,0,-2,-10,-14,56,24,6,1014,1011,1008,10,6,3,18,6,,0,,,108<br />
16/03/2014,17,11,5,1,-8,-14,46,24,10,1019,1015,1012,10,6,3,18,10,,0,,,131<br />
17/03/2014,21,12,3,0,-7,-12,61,28,8,1019,1012,1010,21,6,3,40,13,55,0,,,316<br />
18/03/2014,15,10,6,-3,-9,-13,31,21,12,1025,1022,1019,19,13,6,26,14,,0,8,,123<br />
19/03/2014,13,8,4,-2,-8,-18,42,30,8,1028,1023,1021,18,10,6,26,10,,0,,,31<br />
20/03/2014,19,12,5,-10,-16,-18,27,13,4,1029,1026,1023,31,26,16,26,14,43,0,,,336<br />
21/03/2014,22,13,4,-7,-14,-20,39,13,4,1024,1020,1015,31,16,6,26,13,40,0,,,244<br />
22/03/2014,24,13,3,-3,-13,-23,52,18,4,1025,1018,1015,31,14,8,21,10,40,0,,,29<br />
23/03/2014,19,12,5,2,-4,-10,53,31,15,1027,1023,1019,8,5,3,18,6,26,0,,,129<br />
24/03/2014,21,12,4,4,1,-2,70,45,20,1019,1014,1009,4,3,2,14,5,26,0,,,148<br />
25/03/2014,23,14,6,7,2,-2,66,42,18,1012,1010,1007,8,4,2,14,6,,0,,,26<br />
26/03/2014,24,16,7,11,7,3,77,56,29,1013,1010,1007,8,2,0,14,5,,0,,,121<br />
27/03/2014,16,13,10,11,5,0,80,57,33,1014,1011,1009,7,4,0,18,5,,0,8,Fog,61<br />
28/03/2014,23,17,11,9,7,2,82,54,25,1011,1008,1005,11,4,2,21,8,,0,8,Rain,44<br />
29/03/2014,23,16,8,8,1,-3,82,38,15,1015,1013,1010,24,9,4,18,8,26,0,,,11<br />
30/03/2014,26,16,7,5,-5,-11,62,26,5,1017,1015,1013,31,16,3,14,6,29,0,,,357<br />
31/03/2014,23,18,12,10,3,-3,72,42,23,1017,1015,1013,10,5,2,26,10,43,1.02,6,Rain-Thunderstorm,115<br />
01/04/2014,25,16,6,10,3,-8,90,48,11,1015,1012,1008,14,4,0,21,6,32,0,,Fog,159<br />
02/04/2014,23,16,9,8,2,-4,71,39,16,1023,1014,1010,11,6,3,26,8,35,0,,,101<br />
03/04/2014,20,13,7,1,-17,-30,50,15,4,1026,1023,1021,29,17,10,40,14,64,0,,,18<br />
04/04/2014,26,14,4,-3,-10,-21,53,23,4,1022,1015,1008,19,15,11,29,11,47,0,,,82<br />
05/04/2014,20,12,4,-3,-11,-18,52,21,4,1025,1022,1018,31,18,10,21,10,29,0,,,202<br />
06/04/2014,25,14,3,-1,-8,-18,65,25,4,1021,1017,1013,16,10,6,26,8,32,0,,,211<br />
07/04/2014,25,16,7,3,-1,-5,57,33,12,1015,1013,1010,8,6,3,14,5,,0,,,124<br />
08/04/2014,26,17,8,7,3,-3,76,40,14,1016,1013,1010,5,5,2,18,8,32,0,,,147<br />
09/04/2014,32,22,12,10,0,-12,72,32,4,1020,1011,1008,10,6,2,29,13,43,0,,,98<br />
10/04/2014,18,16,13,3,-2,-9,47,30,13,1024,1022,1020,10,7,5,14,8,,0,8,Rain,161<br />
11/04/2014,18,14,12,1,-3,-7,44,29,13,1021,1019,1016,19,11,6,11,8,,0,8,Rain,142<br />
12/04/2014,21,13,6,3,-2,-7,66,34,13,1018,1016,1013,8,7,5,14,6,,0,,,146<br />
13/04/2014,24,16,8,8,4,1,71,44,22,1019,1017,1014,8,4,2,14,6,,0,,,128<br />
14/04/2014,26,18,10,13,8,5,76,52,29,1019,1016,1013,11,3,2,14,6,32,0,,,139<br />
15/04/2014,23,19,15,11,3,-6,67,38,14,1021,1019,1016,18,7,3,26,10,,0,8,,146<br />
16/04/2014,22,17,12,2,-3,-9,47,26,6,1018,1014,1010,14,11,6,6,5,,0,,,102<br />
17/04/2014,18,14,11,10,7,-2,86,62,23,1017,1013,1010,8,5,2,18,6,,5.08,7,Rain,117<br />
18/04/2014,20,16,12,12,9,2,94,66,34,1023,1019,1016,8,3,2,21,8,,0,,,144<br />
19/04/2014,15,11,8,6,3,-2,81,53,21,1023,1021,1018,13,9,5,21,8,,0.25,8,Rain,161<br />
20/04/2014,22,13,5,7,3,-2,87,48,12,1019,1016,1013,19,8,2,21,8,29,0,,Rain,276<br />
21/04/2014,25,16,7,6,1,-6,71,35,7,1018,1016,1013,27,16,5,29,8,35,0,,,272<br />
22/04/2014,27,17,8,8,3,-2,83,37,12,1016,1013,1009,13,9,2,26,10,,0,,,245<br />
23/04/2014,26,20,15,13,11,8,77,56,33,1012,1010,1007,10,4,2,26,13,43,0.25,,Rain,163<br />
24/04/2014,25,20,16,13,11,10,72,57,32,1016,1014,1012,8,5,3,18,10,,0,8,,166<br />
25/04/2014,27,19,12,11,9,4,88,52,23,1019,1016,1014,10,6,3,40,10,50,10.92,6,Rain,48<br />
26/04/2014,22,16,11,11,7,1,94,59,20,1022,1020,1018,19,11,6,21,11,,3.05,5,Rain,53<br />
27/04/2014,24,17,9,10,5,-3,94,51,8,1022,1020,1018,27,11,3,26,10,43,0,,,62<br />
28/04/2014,26,18,10,9,5,-2,87,45,11,1022,1019,1015,11,8,6,21,8,32,0,,,87<br />
29/04/2014,27,18,10,9,6,3,76,41,13,1016,1013,1009,10,7,6,18,8,32,0,,,166<br />
30/04/2014,28,20,12,12,9,8,82,49,19,1011,1009,1006,10,7,5,18,8,32,0,,,173<br />
01/05/2014,28,21,15,16,11,1,82,54,21,1012,1008,1004,18,7,2,50,14,61,0,3,Rain-Thunderstorm,176<br />
02/05/2014,24,18,12,4,-2,-10,58,28,5,1018,1016,1012,31,19,10,58,29,84,0,1,Rain,311<br />
03/05/2014,25,16,7,6,-1,-11,81,38,5,1018,1013,1006,21,11,3,55,14,76,0,7,,282<br />
04/05/2014,19,14,10,-4,-10,-18,32,19,4,1019,1017,1016,31,22,10,50,32,84,0,,,318<br />
05/05/2014,22,13,5,0,-6,-14,61,27,4,1021,1017,1014,31,23,6,21,10,32,0,,,11<br />
06/05/2014,21,14,9,10,3,-2,59,44,22,1015,1009,1003,13,8,5,14,8,,0.51,1,Rain-Thunderstorm,98<br />
07/05/2014,27,19,11,9,2,-7,82,40,5,1014,1006,1002,31,8,3,40,10,61,0,1,,7<br />
08/05/2014,23,17,10,11,7,3,94,54,18,1016,1014,1011,13,6,2,21,8,,0,,,144<br />
09/05/2014,21,18,16,9,6,3,59,44,24,1016,1015,1013,16,10,6,21,11,40,0,8,,115<br />
10/05/2014,21,17,13,9,6,0,72,47,23,1017,1016,1014,19,11,6,18,10,,7.11,8,Rain,99<br />
11/05/2014,14,12,10,11,9,8,94,85,58,1016,1007,1001,26,8,3,21,13,,9.91,8,Rain,358<br />
12/05/2014,30,19,8,12,9,3,100,52,13,1003,1000,998,31,11,3,29,11,,0,,,230<br />
13/05/2014,31,21,12,14,6,-9,94,42,5,1003,1000,997,26,12,8,43,10,61,0,,,327<br />
14/05/2014,23,18,12,5,-2,-6,55,23,8,1008,1005,1003,31,25,14,43,26,61,0,,,309<br />
15/05/2014,29,18,8,7,4,-2,76,37,9,1003,1000,997,23,10,8,26,8,47,0,,,92<br />
16/05/2014,30,22,14,9,4,-1,67,31,8,1013,1007,1001,31,19,6,26,10,,0,,,72<br />
17/05/2014,28,21,14,10,6,3,67,36,14,1015,1012,1009,26,14,8,26,8,,0,,Rain,150<br />
18/05/2014,30,21,13,14,9,6,72,41,20,1011,1008,1004,11,8,6,26,8,40,0,1,Rain,151<br />
19/05/2014,28,22,17,17,15,12,94,64,28,1008,1004,1001,10,7,3,21,10,,0,4,Rain-Thunderstorm,106<br />
20/05/2014,32,24,18,16,11,6,83,43,12,1007,1004,1002,31,10,2,26,10,,0,,,78<br />
21/05/2014,31,23,16,17,13,10,77,52,26,1008,1005,1003,8,6,6,21,8,,0,,,138<br />
22/05/2014,35,27,19,18,14,8,88,48,12,1009,1006,1005,14,4,2,29,11,,0,,,167<br />
23/05/2014,34,27,20,16,13,9,73,40,16,1011,1010,1008,14,8,5,29,11,40,0,,Rain,175<br />
24/05/2014,26,22,19,19,18,14,94,83,36,1009,1008,1007,10,4,2,14,8,,7.87,8,Rain,115<br />
25/05/2014,29,22,15,19,8,-3,94,48,6,1009,1006,1004,31,6,1,55,14,72,0,8,,288<br />
26/05/2014,35,23,12,11,4,-2,77,29,9,1006,999,993,26,20,14,32,11,43,0,,,227<br />
27/05/2014,32,24,18,11,4,-3,64,26,5,1001,996,994,31,12,6,58,16,90,0,4,,321<br />
28/05/2014,37,26,15,12,7,1,68,28,6,1004,1000,996,27,19,6,35,10,50,0,,,189<br />
29/05/2014,42,30,18,15,11,3,68,33,5,1002,998,996,31,14,10,21,6,43,0,2,,72<br />
30/05/2014,35,28,20,15,13,10,60,37,21,1008,1006,1002,13,9,7,21,10,,0,,,110<br />
31/05/2014,34,27,20,19,16,12,83,49,28,1010,1007,1005,10,7,6,50,6,68,7.11,4,Rain-Thunderstorm,136<br />
01/06/2014,31,25,19,18,16,12,88,64,25,1012,1008,1006,21,10,6,21,13,35,2.03,4,Rain-Thunderstorm,16<br />
02/06/2014,26,22,18,15,13,11,73,53,29,1013,1011,1009,31,24,10,14,6,,0,8,,355<br />
03/06/2014,32,23,16,14,13,11,82,47,19,1009,1008,1005,26,18,6,18,10,,0,,,85<br />
04/06/2014,31,24,19,17,14,13,83,50,26,1008,1006,1004,18,9,6,18,6,,0,8,,205<br />
05/06/2014,34,27,19,17,15,13,83,47,19,1006,1004,1002,23,9,6,14,8,,0,,,172<br />
06/06/2014,27,21,16,19,17,14,94,74,45,1005,1004,1003,31,9,5,40,11,61,4.06,4,Rain-Thunderstorm,51<br />
07/06/2014,30,22,14,14,11,5,94,50,12,1006,1004,1001,31,24,10,26,10,35,0,,,12<br />
08/06/2014,31,23,17,15,13,8,88,62,20,1004,1002,999,31,13,6,55,6,84,0.25,3,Rain-Thunderstorm,49<br />
09/06/2014,31,22,14,15,13,7,94,57,15,1008,1005,1002,31,13,5,18,8,29,0,1,Rain,43<br />
10/06/2014,26,22,18,19,16,13,88,71,47,1011,1009,1007,8,5,3,18,6,,11.94,4,Rain-Thunderstorm,124<br />
11/06/2014,30,23,17,17,14,11,94,54,22,1012,1010,1007,31,13,2,18,8,32,0,,,14<br />
12/06/2014,36,27,18,18,14,9,83,46,12,1008,1006,1003,31,19,5,18,6,26,0,,Rain,36<br />
13/06/2014,32,26,19,20,17,15,94,63,28,1009,1007,1005,26,11,3,55,6,84,11.94,3,Rain-Thunderstorm,58<br />
14/06/2014,32,24,18,20,17,16,94,61,32,1008,1006,1004,19,12,6,11,6,,0,,,91<br />
15/06/2014,32,26,20,21,18,16,88,62,31,1006,1004,1002,10,6,2,40,8,55,2.03,5,Rain-Thunderstorm,107<br />
16/06/2014,30,26,21,21,19,18,94,71,40,1004,1002,1000,7,4,2,14,6,,0,,Rain,157<br />
17/06/2014,27,22,18,21,18,16,94,80,47,1004,1002,1001,10,6,2,26,10,50,34.04,3,Rain-Thunderstorm,118<br />
18/06/2014,31,24,18,20,17,14,94,66,32,1004,1003,1000,31,7,3,18,8,29,0,,,210<br />
19/06/2014,27,23,20,20,19,17,94,73,56,1006,1004,1002,8,4,2,18,8,,5.08,7,Rain,133<br />
20/06/2014,28,23,18,18,17,15,94,72,35,1009,1007,1005,31,9,3,18,8,,2.03,6,Rain-Thunderstorm,103<br />
21/06/2014,28,23,18,18,17,13,88,71,40,1010,1008,1006,18,7,5,32,6,32,3.05,4,Rain-Thunderstorm,175<br />
22/06/2014,29,23,18,19,17,14,94,71,42,1010,1009,1006,18,9,6,21,6,,0,2,,356<br />
23/06/2014,31,24,17,17,15,12,94,55,23,1010,1008,1005,31,21,6,18,10,,0,,,21<br />
24/06/2014,31,25,19,19,17,15,94,56,28,1006,1004,1002,21,15,8,18,6,,0,,,141<br />
25/06/2014,27,24,23,21,19,16,88,69,47,1004,1003,1002,11,5,2,21,8,29,2.03,8,Rain,153<br />
26/06/2014,33,28,22,21,21,17,91,69,43,1005,1003,1000,21,5,1,18,6,,0,1,,134<br />
27/06/2014,34,27,21,19,13,9,78,40,13,1008,1006,1005,31,26,16,29,11,35,0,,,27<br />
28/06/2014,38,28,18,17,13,8,73,38,11,1007,1005,1003,31,15,10,18,10,32,0,2,,11<br />
29/06/2014,35,28,21,19,16,13,78,47,19,1007,1006,1004,31,14,6,14,6,,0,,,132<br />
30/06/2014,35,29,23,19,17,12,78,47,16,1007,1006,1003,19,10,6,21,6,,0,1,,141<br />
01/07/2014,32,26,20,22,19,15,100,59,35,1007,1004,1001,14,5,1,29,10,50,43.94,4,Rain-Thunderstorm,132<br />
02/07/2014,27,23,21,22,21,19,95,85,57,1005,1003,1001,6,5,2,11,5,,4.06,6,Rain-Thunderstorm,108<br />
03/07/2014,30,27,23,23,22,21,94,79,54,1002,1001,999,5,2,1,14,8,,0,2,,145<br />
04/07/2014,34,29,24,24,23,21,94,75,52,1007,1004,1002,4,3,2,21,6,,0,8,,82<br />
05/07/2014,31,27,23,23,22,20,94,73,45,1008,1007,1005,8,4,1,14,6,,0,,,138<br />
06/07/2014,32,28,24,24,23,22,94,76,46,1006,1005,1003,4,2,1,14,10,,0,,,122<br />
07/07/2014,32,28,24,23,22,21,85,71,51,1005,1003,1000,6,5,2,18,8,,0.51,8,,130<br />
08/07/2014,34,29,24,22,19,9,89,58,14,1004,1002,1000,31,9,2,21,6,,0,,,31<br />
09/07/2014,32,27,22,20,15,11,83,49,17,1006,1004,1002,31,26,16,18,6,,0,8,,6<br />
10/07/2014,38,29,21,19,15,9,83,44,16,1002,1000,997,31,24,16,26,8,35,0,,,273<br />
11/07/2014,36,28,21,20,15,8,83,45,11,1001,1000,998,31,24,3,18,8,,0,,,48<br />
12/07/2014,34,29,24,16,12,9,61,34,15,1004,1002,1000,31,23,10,18,11,,0,1,,58<br />
13/07/2014,36,28,21,22,14,11,73,45,16,1004,1002,1000,31,15,6,40,8,,16,2,Rain-Thunderstorm,7<br />
14/07/2014,36,28,20,20,16,13,83,49,24,1003,1002,1000,27,14,6,21,8,,0,1,,45<br />
15/07/2014,32,27,23,22,17,15,78,51,35,1005,1003,1002,23,15,10,32,14,35,1.02,6,Rain,179<br />
16/07/2014,31,26,22,24,21,19,89,74,46,1006,1004,1001,10,5,2,26,6,,8.89,2,Rain-Thunderstorm,98<br />
17/07/2014,29,26,22,23,22,19,88,76,62,1007,1006,1003,7,4,2,18,6,,0,8,Rain,110<br />
18/07/2014,34,29,24,24,22,21,89,67,41,1008,1007,1005,10,5,3,18,6,,0,,,139<br />
19/07/2014,37,31,26,24,23,22,89,61,39,1010,1008,1006,18,8,6,18,8,,0,,,150<br />
20/07/2014,36,31,27,24,23,22,84,61,42,1008,1005,1001,19,8,5,26,11,47,0,1,Rain,169<br />
21/07/2014,36,31,26,24,19,13,74,50,19,1004,1002,999,31,23,8,32,11,40,0,,Rain,355<br />
22/07/2014,30,28,26,18,16,13,54,46,26,1007,1006,1004,31,22,10,21,10,43,0,8,Rain,339<br />
23/07/2014,32,27,23,20,17,13,78,51,31,1006,1004,1001,31,15,10,14,8,32,0,5,,268<br />
24/07/2014,30,26,22,21,20,18,83,69,44,1008,1005,1003,23,8,6,11,5,,0,4,Rain,86<br />
25/07/2014,34,27,20,21,17,14,94,57,25,1007,1006,1004,24,8,2,18,8,,0,,,115<br />
26/07/2014,36,28,21,20,18,16,83,52,25,1009,1008,1006,14,6,3,21,8,32,0,,,170<br />
27/07/2014,36,29,23,19,18,15,69,49,28,1011,1008,1004,10,6,4,21,10,,0,,,158<br />
28/07/2014,36,30,24,22,20,17,83,56,29,1006,1004,1001,11,5,3,26,11,32,0,,,166<br />
29/07/2014,35,29,23,23,21,18,94,59,35,1005,1003,1000,10,5,2,32,13,,20.07,7,Rain-Thunderstorm,161<br />
30/07/2014,28,26,23,23,22,21,94,82,60,1008,1005,1003,6,3,2,14,8,,21.08,7,Rain-Thunderstorm,99<br />
31/07/2014,31,27,24,23,22,21,94,75,48,1008,1007,1004,5,3,1,14,6,,0,,,146<br />
01/08/2014,32,28,24,24,23,21,94,73,47,1008,1006,1005,6,4,2,11,6,,0,8,,135<br />
02/08/2014,34,29,25,25,24,22,94,73,47,1006,1003,1000,6,5,4,14,6,,0,1,,128<br />
03/08/2014,35,30,26,25,24,23,94,73,47,1002,1001,999,8,4,2,18,5,,0.51,,Rain,50<br />
04/08/2014,28,24,19,24,20,17,91,79,51,1007,1004,1001,31,11,3,29,8,47,12.95,7,Rain,20<br />
05/08/2014,32,26,19,22,18,14,94,67,33,1008,1007,1005,27,20,10,14,6,,0,,,46<br />
06/08/2014,34,28,22,22,17,10,94,56,16,1009,1007,1006,31,14,6,18,8,,0,,,52<br />
07/08/2014,33,27,20,20,17,13,94,56,26,1010,1009,1007,14,8,2,14,8,,0,,,113<br />
08/08/2014,32,26,20,19,17,13,88,56,22,1010,1008,1006,10,7,5,18,8,,0,,,151<br />
09/08/2014,31,26,21,20,18,12,88,61,24,1008,1006,1002,10,6,2,32,8,29,4.06,2,Rain-Thunderstorm,133<br />
10/08/2014,34,27,19,20,18,16,94,63,30,1005,1003,1000,19,9,3,18,8,26,0,1,,77<br />
11/08/2014,35,28,20,20,14,9,83,47,14,1006,1004,1002,31,21,5,18,10,,0,,,7<br />
12/08/2014,33,26,19,18,13,9,83,45,20,1008,1006,1004,27,13,5,35,6,55,5.08,4,Rain-Thunderstorm,53<br />
13/08/2014,23,20,18,19,18,17,94,86,70,1009,1008,1007,18,9,2,21,8,,7.87,6,Rain-Thunderstorm,39<br />
14/08/2014,30,23,16,18,17,15,94,68,37,1009,1007,1005,21,10,2,21,8,,0,2,,211<br />
15/08/2014,32,25,18,20,17,13,94,66,25,1008,1006,1005,24,8,3,29,6,55,0,1,Rain-Thunderstorm,90<br />
16/08/2014,33,27,20,22,18,16,88,62,31,1009,1007,1006,13,7,2,11,6,,0,,,80<br />
17/08/2014,30,25,20,22,18,15,83,60,33,1012,1010,1008,18,9,4,21,10,,0,1,Thunderstorm,123<br />
18/08/2014,30,25,20,20,18,16,88,62,38,1013,1012,1010,8,7,3,14,6,,0,,,132<br />
19/08/2014,33,27,20,20,18,16,94,61,31,1013,1011,1009,10,6,3,18,8,32,0,,,148<br />
