Country Name,Year,NY.GDP.PCAP.CD
Middle income,2015,4804.804293
North Macedonia,2015,4840.273123
Mali,2015,751.4747889
Malta,2015,24921.60357
Myanmar,2015,1287.430487
Middle East & North Africa (excluding high income),2015,3956.894083
Montenegro,2015,6514.569188
Mongolia,2015,3918.579174
Northern Mariana Islands,2015,16690.5701
Mozambique,2015,589.8590281
Mauritania,2015,1524.072883
Mauritius,2015,9260.447303
Malawi,2015,380.5970331
Malaysia,2015,9955.243708
North America,2015,55519.93503
Namibia,2015,4869.378373
New Caledonia,2015,
Niger,2015,484.2386326
Nigeria,2015,2687.480145
Nicaragua,2015,2049.84969
Netherlands,2015,45175.23189
Norway,2015,74355.51586
Nepal,2015,792.5528906
Nauru,2015,6956.253801
New Zealand,2015,38501.22122
OECD members,2015,35611.70828
Oman,2015,16028.61152
Other small states,2015,12807.90613
Pakistan,2015,1356.667756
Panama,2015,13630.30797
Peru,2015,6229.101696
Philippines,2015,3001.040371
Palau,2015,15876.46193
Papua New Guinea,2015,2679.345589
Poland,2015,12578.49547
Pre-demographic dividend,2015,1584.9292
Puerto Rico,2015,29763.4883
"Korea, Dem. People's Rep.",2015,
Portugal,2015,19242.36647
Paraguay,2015,5406.703857
West Bank and Gaza,2015,3272.154324
Pacific island small states,2015,3841.599487
Post-demographic dividend,2015,40586.75131
French Polynesia,2015,
Qatar,2015,63039.06349
Romania,2015,8969.148921
Russian Federation,2015,9313.013625
Rwanda,2015,751.6393697
South Asia,2015,1541.803699
Saudi Arabia,2015,20627.93278
Sudan,2015,1909.738755
Senegal,2015,1219.248662
Singapore,2015,55646.61875
Solomon Islands,2015,2167.173826
Sierra Leone,2015,588.2284527
El Salvador,2015,3705.577946
San Marino,2015,42660.33816
Somalia,2015,
Serbia,2015,5588.980728
Sub-Saharan Africa (excluding high income),2015,1658.630611
South Sudan,2015,1119.651333
Sub-Saharan Africa,2015,1669.496761
Small states,2015,11749.04324
Sao Tome and Principe,2015,1584.82776
Suriname,2015,8562.081369
Slovak Republic,2015,16310.98841
Slovenia,2015,20881.76693
Sweden,2015,51545.48361
Eswatini,2015,3679.799799
Sint Maarten (Dutch part),2015,32274.89055
Seychelles,2015,14745.34146
Syrian Arab Republic,2015,
Turks and Caicos Islands,2015,26182.42962
Chad,2015,776.0195323
East Asia & Pacific (IDA & IBRD countries),2015,6591.780256
Europe & Central Asia (IDA & IBRD countries),2015,8007.285013
Togo,2015,570.910279
Thailand,2015,5840.046523
Tajikistan,2015,929.0958572
Turkmenistan,2015,6432.680702
Latin America & the Caribbean (IDA & IBRD countries),2015,8742.373
Timor-Leste,2015,1332.782859
Middle East & North Africa (IDA & IBRD countries),2015,3964.475378
Tonga,2015,4336.196576
South Asia (IDA & IBRD),2015,1541.803699
Sub-Saharan Africa (IDA & IBRD countries),2015,1669.496761
Trinidad and Tobago,2015,18289.70434
Tunisia,2015,3861.688531
Turkey,2015,11006.24974
Tuvalu,2015,3197.772252
Tanzania,2015,947.9334465
Uganda,2015,843.6294158
Ukraine,2015,2124.662319
Upper middle income,2015,7698.211065
Uruguay,2015,15613.76427
United States,2015,56839.38177
Uzbekistan,2015,2615.025134
St. Vincent and the Grenadines,2015,6920.878074
"Venezuela, RB",2015,
British Virgin Islands,2015,
Virgin Islands (U.S.),2015,34796.49436
Vietnam,2015,2085.101484
Vanuatu,2015,2801.939848
World,2015,10249.07227
Samoa,2015,4073.66601
Kosovo,2015,3603.025501
"Yemen, Rep.",2015,1602.037841
South Africa,2015,5734.633422
Zambia,2015,1337.795586
Zimbabwe,2015,1445.071062
